	target_index	dist	ori_index
0	16037	21.90091322296821	0
1	6828	25.647806923789883	1
2	7976	25.020391683585068	2
3	9166	26.575364531836467	3
4	10387	23.77414562082116	4
5	11618	21.60092590608115	5
6	15381	24.6333107803239	6
7	16680	16.568041525781272	7
8	6286	13.230646242719793	8
9	7396	13.000384609695207	9
10	8570	12.713772060250195	10
11	9781	13.635615130972381	11
12	11008	12.397580409096278	12
13	12249	10.748953437428261	13
14	13499	8.683317338437298	14
15	14739	9.04488805900881	15
16	16044	11.327841806804706	16
17	17277	12.744018204632377	17
18	18350	12.141251994749505	18
19	4737	9.712878049270376	19
20	5762	11.152129841425072	20
21	6836	15.608010763707115	21
22	7984	10.52235715037287	22
23	9174	11.941942890501448	23
24	10395	12.316655390161753	24
25	11626	12.521980673998822	25
26	12886	17.098830369355674	26
27	15389	20.143733516902767	27
28	16688	22.659214461229507	28
29	17821	20.020239758804003	29
30	4230	22.25061796894621	30
31	5253	22.155134844996976	31
32	6293	9.867117106835295	32
33	7403	16.28250594963835	33
34	8577	14.169333082399952	34
35	9788	15.923881436383281	35
36	11015	5.371219600798331	36
37	12256	16.096272860510837	37
38	13506	15.795252451290683	38
39	14746	21.027838690650245	39
40	16051	15.608010763707247	40
41	17284	20.707728026029397	41
42	18357	15.246311029228973	42
43	2794	11.136426715962195	43
44	3738	11.094142598687005	44
45	4744	6.296824596572062	45
46	5769	7.854934754662227	46
47	6843	10.064790112069312	47
48	7991	4.4944410108488055	48
49	9181	4.973932046178513	49
50	10402	0.9486832980502261	50
51	11633	15.045597362684013	51
52	12893	13.193938001976866	52
53	14131	10.421612159353906	53
54	15396	11.107204868913305	54
55	16695	9.602083107325864	55
56	17828	8.070935509592278	56
57	2354	27.14424432545486	57
58	3256	24.23303530307319	58
59	4238	20.602184350208674	59
60	5261	22.14610575247949	60
61	6300	24.167126432408512	61
62	7411	22.94558781116753	62
63	8585	19.757024067404302	63
64	9796	21.658485634965384	64
65	11023	24.80322559668417	65
66	12263	23.058620947489192	66
67	13514	23.54400135915696	67
68	14754	26.93120866207102	68
69	16058	20.534117950377762	69
70	17291	24.77357463104555	70
71	18365	19.543285291885105	71
72	1294	26.172695696087278	72
73	1847	23.819529802243988	73
74	2801	24.885337048149324	74
75	3745	24.037678756485267	75
76	4751	25.160286166893975	76
77	5776	17.681911661355983	77
78	6712	24.210121850168186	78
79	7998	22.203152929257374	79
80	9188	23.007824755938863	80
81	10409	22.48777445635712	81
82	11640	21.75591873491022	82
83	12900	23.647832881682394	83
84	14138	21.641164478834554	84
85	15403	23.313729860321093	85
86	16702	18.500270268296084	86
87	17835	21.07747612974562	87
88	18912	19.9223492590605	88
89	1039	12.709445306542747	89
90	1596	22.53375246158555	90
91	2361	28.155461281960662	91
92	3264	25.988651369396038	92
93	4245	19.021303845951	93
94	5268	20.276587484091177	94
95	6308	28.426044395940718	95
96	7418	25.94339993138888	96
97	8592	22.192341021172552	97
98	9803	20.23709465313651	98
99	11030	27.38558014722398	99
100	12112	25.01219702465162	100
101	13521	23.135254483147474	101
102	14761	21.02974084481309	102
103	16066	23.34137956505569	103
104	17299	23.193102422918244	104
105	18372	24.552392958732653	105
106	19418	19.564508682815937	106
107	808	25.972485441328303	107
108	1302	29.400680264238606	108
109	1947	32.10295936514303	109
110	2808	29.982161363050277	110
111	3752	23.131147831441364	111
112	4629	34.9322200840425	112
113	5783	22.255111772354823	113
114	6857	26.879360111431627	114
115	8005	26.810632219326468	115
116	9195	26.44409196777243	116
117	10416	23.900627606822507	117
118	11647	26.245761562583937	118
119	12907	28.46278271708469	119
120	14145	31.6985804098551	120
121	15410	30.573517952633946	121
122	16709	21.94401968646526	122
123	17842	24.110163831878427	123
124	18919	24.855784035109654	124
125	542	21.81123563670815	125
126	1046	24.641631439496948	126
127	1525	23.37541443482862	127
128	2368	24.352823244954937	128
129	3271	22.562136423663045	129
130	4252	14.666969693839611	130
131	5275	16.16075493286082	131
132	6315	23.269078194032225	132
133	7425	22.33786023772183	133
134	8599	17.364907140552358	134
135	9810	22.437691503360682	135
136	11037	23.977072381757107	136
137	12119	23.742788378790287	137
138	13528	19.864541273333558	138
139	14768	20.42449509779826	139
140	16073	22.346588106465433	140
141	17306	22.108143296080296	141
142	18379	20.977368757783413	142
143	19425	14.499999999999222	143
144	401	22.41985726983974	144
145	816	19.996999774966447	145
146	1309	15.005332385522145	146
147	1954	20.042205467462917	147
148	2815	23.507658326596474	148
149	3760	21.603703386225597	149
150	4766	9.23471710449199	150
151	5791	22.088005795000825	151
152	6864	24.02519510846896	152
153	8012	24.82619584229511	153
154	9203	14.406942770761518	154
155	10424	23.769097584889945	155
156	11654	16.107762104029586	156
157	12915	22.70088104017093	157
158	14153	18.288794383447275	158
159	15418	21.09526013112864	159
160	16717	20.811775512915965	160
161	17850	20.403921191770586	161
162	18927	18.578482176970304	162
163	19862	16.752910194948157	163
164	243	9.130169768410706	164
165	601	13.51184665395491	165
166	1053	13.85135372445594	166
167	1610	17.69180601295374	167
168	2375	7.976214641043398	168
169	3278	9.264987857520529	169
170	4259	21.66748716395167	170
171	5282	13.948835076808821	171
172	6322	1.2041594578790784	172
173	7432	21.88880992653524	173
174	8606	14.412841496388069	174
175	9817	18.643229333996963	175
176	11044	2.7784887978894632	176
177	12285	8.188406438374175	177
178	13535	10.70794097854492	178
179	14775	14.621901381147715	179
180	16080	11.166467659918101	180
181	17313	11.454256850620446	181
182	18386	9.289241088484928	182
183	19432	13.146862743636014	183
184	121	10.781465577554705	184
185	408	14.066271716414102	185
186	823	7.600657866264219	186
187	1316	6.935416353759501	187
188	1962	18.721645226848853	188
189	2823	16.98381582566173	189
190	3767	4.301162633521503	190
191	4773	17.650212463310712	191
