genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_dmain,neighbors
COX5A,1.0,0.9145945945945946,1.0933806146572105,0.5951204895973206,0.24068407714366913,1.4253770112991333,2.125814827900418e-25,2,"[8, 7]"
MDH2,1.0,0.9816216216216216,1.0187224669603525,0.5877013802528381,0.2498963177204132,1.4018672704696655,8.473901193737946e-11,2,"[8, 7]"
SLC39A6,1.0,0.9545945945945946,1.0475651189127972,0.612610399723053,0.2636103630065918,1.417649269104004,5.794675706216041e-09,2,"[8, 7]"
COX7C,1.0,0.9945945945945946,1.0054347826086956,0.7254067659378052,0.3650171458721161,1.4338878393173218,3.796137364655828e-08,2,"[8, 7]"
PRDX6,1.0,0.9783783783783784,1.022099447513812,0.6644861102104187,0.3051269054412842,1.4324111938476562,1.1941351697301908e-06,2,"[8, 7]"
DDX17,1.0,0.987027027027027,1.013143483023001,0.7011669278144836,0.34291309118270874,1.4308286905288696,0.000142685156249245,2,"[8, 7]"
TMEM45A,1.0,0.9989189189189189,1.001082251082251,0.9793442487716675,0.6362630724906921,1.40928316116333,0.012349230184502926,2,"[8, 7]"
GPNMB,0.9957716701902748,0.84,1.185442464512232,0.619590163230896,0.23501864075660706,1.4689847230911255,2.6573010576590262e-06,2,"[8, 7]"
SLC2A1,1.0,0.9978813559322034,1.0021231422505308,0.8791685700416565,0.32803377509117126,1.735221028327942,4.3506525087354976e-63,3,[5]
PAPOLA,1.0,0.9957627118644068,1.004255319148936,0.6145766973495483,0.27232450246810913,1.408115267753601,6.938378291138967e-05,3,[5]
ADAM10,1.0,0.9385593220338984,1.0654627539503385,0.5512368679046631,0.19799445569515228,1.4236762523651123,1.4730055830916517e-05,3,[5]
BRK1,1.0,0.9936440677966102,1.0063965884861408,0.7093740105628967,0.35271963477134705,1.4285420179367065,1.4774500351460813e-05,3,[5]
PPP1R14B,1.0,0.989406779661017,1.0107066381156318,0.6386749744415283,0.2637264132499695,1.4549164772033691,1.91800817194534e-05,3,[5]
HNRNPF,1.0,0.9915254237288136,1.0085470085470085,0.765533447265625,0.3311682641506195,1.5439826250076294,1.9736240483181717e-05,3,[5]
DHCR24,1.0,0.9872881355932204,1.0128755364806867,0.7103328704833984,0.3324204087257385,1.4592350721359253,2.4648946757700292e-05,3,[5]
MT1E,1.0,0.9851694915254238,1.01505376344086,0.5842494964599609,0.22598499059677124,1.4308440685272217,2.4790021231723256e-05,3,[5]
SERPINB4,1.0,0.9703389830508474,1.0305676855895196,0.6115211844444275,0.2109754979610443,1.4926389455795288,2.904393042740442e-05,3,[5]
BAG3,1.0,0.875,1.1428571428571428,0.5274322032928467,0.15987202525138855,1.4442065954208374,3.583029723102845e-05,3,[5]
CITED4,1.0,0.9788135593220338,1.0216450216450217,0.5686635971069336,0.20239388942718506,1.442344069480896,5.4565982160948454e-05,3,[5]
CCT2,1.0,0.9639830508474576,1.0373626373626375,0.5938395857810974,0.23336444795131683,1.43401038646698,6.860311109785906e-05,3,[5]
CARHSP1,1.0,0.9385593220338984,1.0654627539503385,0.5356618165969849,0.19541679322719574,1.4052917957305908,7.427219417051393e-05,3,[5]
PLK2,1.0,0.9152542372881356,1.0925925925925926,0.6064491271972656,0.22433365881443024,1.4653812646865845,0.0002976871370744216,3,[5]
RALA,1.0,0.902542372881356,1.107981220657277,0.5663632154464722,0.19865897297859192,1.4444146156311035,7.531600982903305e-05,3,[5]
OST4,1.0,0.9872881355932204,1.0128755364806867,0.6316565275192261,0.2602197527885437,1.449816107749939,0.00010274376423408512,3,[5]
THBD,1.0,0.9957627118644068,1.004255319148936,0.6776275038719177,0.2751501202583313,1.4955251216888428,0.00011813765074964331,3,[5]
GPC1,1.0,0.8983050847457628,1.1132075471698113,0.5708068013191223,0.19870293140411377,1.4507837295532227,0.00016594711889713528,3,[5]
LIMK2,1.0,0.934322033898305,1.0702947845804989,0.5038117170333862,0.1563483327627182,1.4154725074768066,0.00017324609083192534,3,[5]
ATP5F1,1.0,0.9830508474576272,1.0172413793103448,0.6665316820144653,0.27519217133522034,1.478960394859314,0.00018064061949773323,3,[5]
ID1,1.0,0.9957627118644068,1.004255319148936,0.6686602234840393,0.30077633261680603,1.4446742534637451,0.00019667590014715877,3,[5]
AKR1B10,1.0,0.9555084745762712,1.0465631929046564,0.5624403357505798,0.2071259766817093,1.4266290664672852,0.00019909021991961374,3,[5]
COL7A1,1.0,0.9978813559322034,1.0021231422505308,0.8694708347320557,0.4279302954673767,1.5551011562347412,0.00024470725388227066,3,[5]
